University,Arts & Crafts Store,Bagel Shop,Bakery,Bank,Breakfast Spot,Brewery,Bubble Tea Shop,Concert Hall,Convenience Store,Diner,Gastropub,Gift Shop,Hotel,Mobile Phone Shop,Noodle House,Park,Pharmacy,Pizza Place,Record Shop,Salad Place,Salon / Barbershop,Shipping Store,Smoke Shop,Spa,Sporting Goods Shop,Student Center,Tea Room,Yoga Studio,MUSEUM,BOOKSTORE,COMMON RESTAURANT,NOVEL RESTAURANT,RESTAURANT,GYM,THEATER,STADIUM,VENUE,LIQUOR,PUB,FANCY BAR,STATIONERY,TRAIL,BUS,HISTORIC,SQUARE,SHOPPING,BEAUTY,ART,FANCY_FOOD,JUICE,EASY FOOD,GROCERY,SWEETS,SANDWICH,COFFEE
Amherst College,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2,1,6,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,3,2,1
Barnard College,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,2,2,0,1,0,1,0,0,0,0,1,0,1,3,15,4,7,0,0,0,0,3,2,0,1,0,0,1,0,0,3,1,1,0,3,3,2,6,6
Bates College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Boston College,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
Boston University,0,1,1,0,1,0,1,0,2,2,0,0,1,0,0,5,2,3,1,0,1,2,0,1,0,0,0,1,0,0,11,2,4,2,2,0,2,1,3,0,0,0,1,0,1,0,1,0,2,1,1,2,2,1,5
Bowdoin College,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,3,1,2,1,2,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,2
Brigham Young University,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,2,1
Brown University,0,2,0,0,0,0,1,0,0,1,0,1,2,0,0,3,0,2,0,0,1,1,0,0,0,0,1,1,2,1,10,3,15,2,1,0,2,0,2,1,0,0,0,0,1,1,1,3,0,1,5,0,4,2,8
California Institute of Technology,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,2,1,2,0,0,1,0,1,0,0,0,0,1,1,3,0,0,0,2,0,3,2,5
Carnegie Mellon University,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,7,0,1,0,1,0,0,0,0,0,0,0,1,0,3,2,0,0,3,0,1,2,6
Case Western Reserve University,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,3
Claremont McKenna College,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
College of William and Mary,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,1,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,2
Colorado College,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,2
Columbia University,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,1,0,8,6,7,2,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,3,2,2,3,6
Cooper Union,1,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,2,0,0,0,2,0,0,0,3,0,3,10,5,12,3,1,0,1,4,4,2,0,0,0,0,0,2,0,0,2,0,2,4,8,0,7
Cornell University,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,1,0,0,0,1,1,0,1,0,0,1,0,2,1,0,0,2,0,0,1,8
Dartmouth College,1,0,2,0,0,0,0,0,1,0,0,0,2,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,2,3,2,3,0,1,0,2,0,1,0,0,0,0,0,0,2,0,1,1,0,1,0,2,2,5
Duke University,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4
Emory University,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,5
Georgetown University,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,2,0,0,2,2,0,0,0,3,0,0,0,2,1,0,4,7
Georgia Institute of Technology,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,1,1,5
Harvard University,0,0,1,0,1,0,0,0,0,0,3,1,2,0,0,3,0,5,3,1,0,0,0,2,0,0,1,0,0,4,11,1,10,1,2,0,4,0,1,3,2,0,3,1,3,1,0,0,3,0,4,0,3,1,5
Harvey Mudd College,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4
Haverford College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Johns Hopkins University,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
Kenyon College,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Lehigh University,0,1,0,2,0,1,0,0,0,1,1,0,1,0,0,1,2,4,0,0,2,0,2,0,0,0,0,0,0,1,11,2,4,0,2,0,1,1,5,0,0,0,0,0,1,0,0,1,0,1,4,2,3,3,5
Massachusetts Institute of Technology,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,1,0,1,1,1,1,4,1,4,4,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,4,0,1,4,2
Middlebury College,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
New York University,0,1,1,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,2,0,0,0,2,0,0,0,3,0,1,11,8,8,5,4,0,5,2,2,2,1,0,0,0,0,2,1,0,2,2,1,0,5,2,8
Northeastern University,2,0,1,0,0,0,1,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3,1,6,3,4,0,2,1,4,1,2,0,0,1,0,0,1,0,1,5,0,0,2,2,3,5,5
Northwestern University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3
Pomona College,2,1,3,2,0,0,0,0,0,0,1,1,0,0,0,1,0,2,1,1,0,1,0,2,0,0,1,0,0,1,11,2,6,1,2,0,0,1,1,1,0,0,0,0,1,1,0,1,3,1,2,0,4,2,5
Princeton University,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,2
Rensselaer Polytechnic Institute,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,3,1,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0
